AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
567,335,E. Ann St.,Ann Arbor,Michigan Socialist House Cooperative (Later Michigan House Cooperative) 1932 - 1947,42.282504,-83.744397,335 E. Ann St.
1108,808,E. Ann St. ,Ann Arbor,,,,808 E. Ann St. 
167,112,E. Davis St.,Ann Arbor,,,,112 E. Davis St.
170,217,E. Franklin St.,Ann Arbor,,,,217 E. Franklin St.
175,121,E. Hoover St.,Ann Arbor,,,,121 E. Hoover St.
176,144,E. Hoover St.,Ann Arbor,,,,144 E. Hoover St.
177,146,E. Hoover St.,Ann Arbor,,,,146 E. Hoover St.
178,415,E. Hoover St.,Ann Arbor,,,,415 E. Hoover St.
179,511,E. Hoover St.,Ann Arbor,,,,511 E. Hoover St.
180,605,E. Hoover St.,Ann Arbor,,,,605 E. Hoover St.
181,1001,E. Huron St.,Ann Arbor,,,,1001 E. Huron St.
183,1003,E. Huron St.,Ann Arbor,,,,1003 E. Huron St.
184,1015,E. Huron St.,Ann Arbor,,,,1015 E. Huron St.
185,1021,E. Huron St.,Ann Arbor,,,,1021 E. Huron St.
186,1030,E. Huron St.,Ann Arbor,,,,1030 E. Huron St.
187,1038,E. Huron St.,Ann Arbor,,,,1038 E. Huron St.
188,1100,E. Huron St.,Ann Arbor,,,,1100 E. Huron St.
189,1102,E. Huron St.,Ann Arbor,,,,1102 E. Huron St.
190,1120,E. Huron St.,Ann Arbor,,,,1120 E. Huron St.
191,1129,E. Huron St.,Ann Arbor,,,,1129 E. Huron St.
192,515,E. Huron St.,Ann Arbor,,,,515 E. Huron St.
193,713,E. Huron St.,Ann Arbor,,,,713 E. Huron St.
194,805,E. Huron St.,Ann Arbor,,,,805 E. Huron St.
195,903,E. Huron St.,Ann Arbor,,,,903 E. Huron St.
196,913,E. Huron St.,Ann Arbor,,,,913 E. Huron St.
197,917,E. Huron St.,Ann Arbor,,,,917 E. Huron St.
198,921,E. Huron St.,Ann Arbor,,42.281555,-83.737484,921 E. Huron St.
1293,93,E. Huron St.,Ann Arbor,,,,93 E. Huron St.
2192,1007,E. Huron St.,Ann Arbor,,,,1007 E. Huron St.
2193,902,E. Huron St.,Ann Arbor,,,,902 E. Huron St.
28,1103,E. Huron St.,Ann Arbor,Alpha Phi Alpha house,42.281408,-83.735232,1103 E. Huron St.
200,21,E. Jefferson St.,Ann Arbor,,42.280022,-83.7312,21 E. Jefferson St.
201,300,E. Jefferson St.,Ann Arbor,,42.276051,-83.746104,300 E. Jefferson St.
202,318,E. Jefferson St.,Ann Arbor,,42.275849,-83.745397,318 E. Jefferson St.
