id,AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,address,latitude,longitude,
1136,37,15510,Alden St.,Detroit,,15510 Alden St.,0,0,not in ann arbor
1137,2210,514,Alger St.,Detroit,,514 Alger St.,0,0,not in ann arbor
1138,2116,822,American St.,Detroit,,822 American St.,0,0,not in ann arbor
1139,46,2541,Annabelle St.,Detroit,,2541 Annabelle St.,0,0,not in ann arbor
1140,48,20205,Appoline St.,Detroit,,20205 Appoline St.,0,0,not in ann arbor
1141,52,14820,Ardmore St.,Detroit,,14820 Ardmore St.,0,0,not in ann arbor
1142,65,2518,Atkinson St.,Detroit,,2518 Atkinson St.,0,0,not in ann arbor
1144,2176,821,Baylis St.,Detroit,,821 Baylis St.,0,0,not in ann arbor
1145,2212,2614,Beaubien,Detroit,,2614 Beaubien,0,0,not in ann arbor
1147,95,18428,Binder,Detroit,,18428 Binder,0,0,not in ann arbor
1148,2180,13500,Birwood St.,Detroit,,13500 Birwood St.,0,0,not in ann arbor
1149,106,2691,Boston St.,Detroit,,2691 Boston St.,0,0,not in ann arbor
1150,2222,7441,Brush,Detroit,,7441 Brush,0,0,not in ann arbor
1151,130,7062,Burnette St.,Detroit,,7062 Burnette St.,0,0,not in ann arbor
1152,131,8032,Burnette St.,Detroit,,8032 Burnette St.,0,0,not in ann arbor
1153,135,111,Cadillac Sq. ,Detroit,,111 Cadillac Sq. ,0,0,not in ann arbor
1154,1032,8166,Chalfonte St.,Detroit,,8166 Chalfonte St.,0,0,not in ann arbor
1155,1985,2700,Chicago Blvd,Detroit,,2700 Chicago Blvd,0,0,not in ann arbor
1156,1053,1428,Clairmont St.,Detroit,,1428 Clairmont St.,0,0,not in ann arbor
1157,2221,6004,Colfax,Detroit,,6004 Colfax,0,0,not in ann arbor
1158,1055,2680,Collingwood St.,Detroit,,2680 Collingwood St.,0,0,not in ann arbor
1159,1069,2672,Cortland St.,Detroit,,2672 Cortland St.,0,0,not in ann arbor
1160,1089,2438,Dearing St.,Detroit,,2438 Dearing St.,0,0,not in ann arbor
1161,1103,8745,Dumbarton Rd,Detroit,,8745 Dumbarton Rd,0,0,not in ann arbor
1162,168,635,E. Elizabeth St.,Detroit,,635 E. Elizabeth St.,0,0,not in ann arbor
1163,2208,214,E. Hancock St.,Detroit,,214 E. Hancock St.,0,0,not in ann arbor
1164,2118,620,E. Philadelphia St.,Detroit,,620 E. Philadelphia St.,0,0,not in ann arbor
1166,1145,7777,Epworth St.,Detroit,,7777 Epworth St.,0,0,not in ann arbor
1167,2209,587,Farnsworth St,Detroit,,587 Farnsworth St,0,0,not in ann arbor
1168,2117,60,Farnsworth St.,Detroit,,60 Farnsworth St.,0,0,not in ann arbor
1169,1183,3230,Fullerton Ave.,Detroit,,3230 Fullerton Ave.,0,0,not in ann arbor
1170,1185,3088,Garland,Detroit,,3088 Garland,0,0,not in ann arbor
1171,1204,2225,Gladstone St.,Detroit,,2225 Gladstone St.,0,0,not in ann arbor
1172,1211,3225,Glendale Ave.,Detroit,,3225 Glendale Ave.,0,0,not in ann arbor
1173,1212,2034,Glyn Ct.,Detroit,,2034 Glyn Ct.,0,0,not in ann arbor
1174,2220,8721,Greeley Ave,Detroit,,8721 Greeley Ave,0,0,not in ann arbor
1175,1284,669,Horton St.,Detroit,,669 Horton St.,0,0,not in ann arbor
1176,1301,9501,Iris St.,Detroit,,9501 Iris St.,0,0,not in ann arbor
1178,2028,209,Josephine St.,Detroit,,209 Josephine St.,0,0,not in ann arbor
1179,1327,3011,Kendall St.,Detroit,,3011 Kendall St.,0,0,not in ann arbor
1180,1328,3768,Kendall St.,Detroit,,3768 Kendall St.,0,0,not in ann arbor
1181,1346,15614,LaSalle Blvd,Detroit,,15614 LaSalle Blvd,0,0,not in ann arbor
1182,1352,16121,Lawton St.,Detroit,,16121 Lawton St.,0,0,not in ann arbor
1183,2228,237,Leicester,Detroit,,237 Leicester,0,0,not in ann arbor
1185,1356,2653,Leslie St. ,Detroit,,2653 Leslie St. ,0,0,not in ann arbor
1186,2154,15622,Log Cabin St.,Detroit,,15622  Log Cabin St.,0,0,not in ann arbor
1187,1379,1472,Longfellow St.,Detroit,,1472 Longfellow St.,0,0,not in ann arbor
1188,2240,1414,Longfellow St.,Detroit,,1414 Longfellow St.,0,0,not in ann arbor
1189,1382,2929,Lothrop St.,Detroit,,2929 Lothrop St.,0,0,not in ann arbor
1190,1383,628,MacDougall St.,Detroit,,628 MacDougall St.,0,0,not in ann arbor
1191,1431,14710,Mendota St.,Detroit,,14710 Mendota St.,0,0,not in ann arbor
1192,2160,2300,N. LaSalle Gardens,Detroit,,2300 N. LaSalle Gardens,0,0,not in ann arbor
1193,1523,8957,N. Martindale St.,Detroit,,8957 N. Martindale St.,0,0,not in ann arbor
1194,1558,15561,Norman St.,Detroit,,15561 Norman St.,0,0,not in ann arbor
1195,1559,16500,Normandy St.,Detroit,,16500 Normandy St.,0,0,not in ann arbor
1196,1571,3231,Oakman Blvd.,Detroit,,3231 Oakman Blvd.,0,0,not in ann arbor
1197,1570,2675,Oakman Ct.,Detroit,,2675 Oakman Ct.,0,0,not in ann arbor
1198,1580,57,Orchestra Place,Detroit,,57 Orchestra Place,0,0,not in ann arbor
1199,1581,5572,Oregon St.,Detroit,,5572 Oregon St.,0,0,not in ann arbor
1200,1595,4500,Pacific St.,Detroit,,4500 Pacific St.,0,0,not in ann arbor
1201,2162,4382,Pacific St.,Detroit,,4382 Pacific St.,0,0,not in ann arbor
1202,1617,16597,Parkside St.,Detroit,,16597 Parkside St.,0,0,not in ann arbor
1203,1620,4088,Pasadena St.,Detroit,,4088 Pasadena St.,0,0,not in ann arbor
1204,1635,18659,Pennington Dr.,Detroit,,18659 Pennington Dr.,0,0,not in ann arbor
1205,1636,16146,Petoskey Ave.,Detroit,,16146 Petoskey Ave.,0,0,not in ann arbor
1206,1640,20435,Picadilly Road,Detroit,,20435 Picadilly Road,0,0,not in ann arbor
1207,1642,17500,Pinehurst St.,Detroit,,17500 Pinehurst St.,0,0,not in ann arbor
